Product Name,GPU Chip,Release Date,Bus,Memory,GPU Clock,Memory Clock,Shaders/TMUs/ROPs
GeForce2 MX DH Pro TV,NV11,"Jun 28th, 2000",AGP 4x,"32 MB, SDR, 128 bit",175 MHz,166 MHz,2 / 0 / 4 / 2
GeForce2 MX DH Pro TV PCI,NV11,"Jun 28th, 2000",PCI,"32 MB, SDR, 128 bit",175 MHz,166 MHz,2 / 0 / 4 / 2
GeForce2 MX PCI,NV11,"Jun 28th, 2000",PCI,"32 MB, SDR, 64 bit",175 MHz,166 MHz,2 / 0 / 4 / 2
GeForce2 GTS,NV15,"Apr 26th, 2000",AGP 4x,"32 MB, DDR, 128 bit",200 MHz,166 MHz,4 / 0 / 8 / 4
GeForce2 GTS PRO,NV15,"Apr 26th, 2000",AGP 4x,"32 MB, DDR, 128 bit",200 MHz,200 MHz,4 / 0 / 8 / 4
Vanta LT,NV5B,"Mar 1st, 2000",AGP 2x,"8 MB, SDR, 64 bit",105 MHz,100 MHz,2 / 0 / 2 / 2
Playstation 2 GPU 250nm,GS-250nm,"Mar 4th, 2000",IGP,"4 MB, eDRAM, 2560 bit",147 MHz,150 MHz,16 / 2 / 8 / 16
Spectre 1000,Rampage,Never Released,AGP 4x,"64 MB, DDR, 128 bit",200 MHz,200 MHz,4 / 0 / 4 / 4
Spectre 2000,Rampage,Never Released,AGP 4x,"64 MB, DDR, 128 bit",200 MHz,200 MHz,4 / 1 / 4 / 4
Spectre 3000,Rampage,Never Released,AGP 4x,"64 MB, DDR, 128 bit",200 MHz,200 MHz,4 / 1 / 4 / 4
Mobility Radeon 7500,M7,"Dec 1st, 2001",AGP 4x,"32 MB, DDR, 64 bit",280 MHz,200 MHz,2 / 0 / 2 / 1
Mobility Radeon 7500,M7,"Dec 1st, 2001",AGP 4x,"32 MB, DDR, 64 bit",230 MHz,183 MHz,2 / 1 / 2 / 1
Mobility Radeon 7500C,M7,"Dec 1st, 2001",AGP 4x,"16 MB, DDR, 64 bit",230 MHz,183 MHz,2 / 1 / 2 / 1
All-In-Wonder Radeon 8500,R200,"Nov 14th, 2001",AGP 8x,"128 MB, DDR, 128 bit",275 MHz,275 MHz,4 / 2 / 8 / 4
Mobility FireGL 7800,M7,"Sep 29th, 2001",AGP 4x,"64 MB, DDR, 128 bit",280 MHz,200 MHz,2 / 0 / 2 / 2
All-In-Wonder Radeon 8500DV,R200,"Aug 30th, 2001",AGP 8x,"64 MB, DDR, 128 bit",230 MHz,190 MHz,4 / 2 / 8 / 4
FireGL 8700,R200,"Aug 14th, 2001",AGP 4x,"64 MB, DDR, 128 bit",250 MHz,270 MHz,4 / 2 / 8 / 4
FireGL 8800,R200,"Aug 14th, 2001",AGP 4x,"128 MB, DDR, 128 bit",300 MHz,290 MHz,4 / 2 / 8 / 4
Radeon 7500,RV200,"Aug 14th, 2001",AGP 4x,"64 MB, DDR, 128 bit",290 MHz,230 MHz,2 / 1 / 6 / 2
Radeon 7500 LE,RV200,"Aug 14th, 2001",AGP 4x,"64 MB, DDR, 128 bit",250 MHz,175 MHz,2 / 1 / 6 / 2
Radeon 8500,R200,"Aug 14th, 2001",AGP 4x,"64 MB, DDR, 128 bit",275 MHz,275 MHz,4 / 2 / 8 / 4
Radeon DDR VIVO,Rage 6,"Aug 14th, 2001",AGP 4x,"64 MB, DDR, 128 bit",183 MHz,183 MHz,2 / 1 / 6 / 2
Radeon DDR VIVO OEM,Rage 6,"Aug 14th, 2001",AGP 4x,"64 MB, DDR, 128 bit",166 MHz,166 MHz,2 / 1 / 6 / 2
Radeon DDR VIVO SE,Rage 6,"Aug 14th, 2001",AGP 4x,"64 MB, DDR, 128 bit",187 MHz,180 MHz,2 / 1 / 6 / 2
Radeon LE,Rage 6,"May 1st, 2001",AGP 4x,"32 MB, DDR, 128 bit",148 MHz,148 MHz,2 / 1 / 6 / 2
Fire GL4,RC1000,"Mar 14th, 2001",AGP Pro 8x,"128 MB, DDR, 256 bit",150 MHz,150 MHz,2 / 1 / 4 / 1
Radeon 7000,RV100,"Feb 19th, 2001",AGP 4x,"32 MB, DDR, 64 bit",183 MHz,183 MHz,1 / 0 / 3 / 1
Radeon 7000 PCI,RV100,"Feb 19th, 2001",PCI,"32 MB, DDR, 64 bit",133 MHz,133 MHz,1 / 0 / 3 / 1
Radeon VE,Rage 6,"Feb 19th, 2001",AGP 4x,"32 MB, DDR, 64 bit",183 MHz,183 MHz,1 / 0 / 3 / 1
Radeon VE PCI,Rage 6,"Feb 19th, 2001",PCI,"32 MB, DDR, 64 bit",183 MHz,183 MHz,1 / 0 / 3 / 1
i830M Graphics,Almador,2001,FSB,System Shared,166 MHz,System Shared,2 / 0 / 1 / 1
Millennium G550,Condor,"Nov 26th, 2001",AGP 4x,"32 MB, DDR, 64 bit",125 MHz,166 MHz,2 / 1 / 2 / 2
Millennium G550 PCIe,Condor,"Nov 26th, 2001",PCIe 1.0 x1,"32 MB, DDR, 64 bit",125 MHz,166 MHz,2 / 1 / 2 / 2
Xbox GPU,NV2A,"Nov 15th, 2001",AGP 4x,"64 MB, DDR, 128 bit",233 MHz,200 MHz,4 / 2 / 8 / 4
GeForce2 Ti,NV15,"Oct 1st, 2001",AGP 4x,"64 MB, DDR, 128 bit",250 MHz,200 MHz,4 / 0 / 8 / 4
GeForce3 Ti200,NV20,"Oct 1st, 2001",AGP 4x,"64 MB, DDR, 128 bit",175 MHz,200 MHz,4 / 1 / 8 / 4
GeForce3 Ti500,NV20,"Oct 1st, 2001",AGP 4x,"64 MB, DDR, 128 bit",240 MHz,250 MHz,4 / 1 / 8 / 4
Quadro2 Go,NV11B,"Aug 14th, 2001",AGP 4x,"32 MB, DDR, 64 bit",143 MHz,181 MHz,2 / 0 / 2 / 2
GeForce2 MX + nForce 220,Crush11,"Jun 4th, 2001",AGP 4x,System Shared,175 MHz,System Shared,2 / 0 / 4 / 2
GeForce2 MX + nForce 420,Crush11,"Jun 4th, 2001",AGP 4x,System Shared,175 MHz,System Shared,2 / 0 / 4 / 2
Quadro DCC,NV20,"May 14th, 2001",AGP 4x,"64 MB, SDR, 128 bit",200 MHz,230 MHz,4 / 1 / 4 / 4
Quadro2 Pro,NV15,"Mar 22nd, 2001",AGP 4x,"64 MB, DDR, 128 bit",200 MHz,250 MHz,4 / 0 / 8 / 4
GeForce2 MX 200,NV11B,"Mar 3rd, 2001",AGP 4x,"32 MB, SDR, 64 bit",175 MHz,166 MHz,2 / 0 / 4 / 2
GeForce2 MX 200 LP,NV11B,"Mar 3rd, 2001",AGP 4x,"32 MB, SDR, 64 bit",175 MHz,166 MHz,2 / 0 / 4 / 2
GeForce2 MX 200 PCI,NV11B,"Mar 3rd, 2001",PCI,"64 MB, SDR, 64 bit",175 MHz,166 MHz,2 / 0 / 4 / 2
GeForce2 MX 400,NV11B,"Mar 3rd, 2001",AGP 4x,"32 MB, SDR, 128 bit",200 MHz,166 MHz,2 / 0 / 4 / 2
GeForce2 MX 400 PCI,NV11B,"Mar 3rd, 2001",PCI,"32 MB, DDR, 64 bit",200 MHz,166 MHz,2 / 0 / 4 / 2
GeForce3,NV20,"Feb 27th, 2001",AGP 4x,"64 MB, DDR, 128 bit",200 MHz,230 MHz,4 / 1 / 8 / 4
GeForce2 Go 100,NV11B,"Feb 6th, 2001",AGP 4x,"16 MB, DDR, 32 bit",125 MHz,166 MHz,2 / 0 / 4 / 2
GeForce2 Go 200,NV11B,"Feb 6th, 2001",AGP 4x,"32 MB, DDR, 64 bit",143 MHz,166 MHz,2 / 0 / 4 / 2
Playstation 2 GPU 180nm,GS-180nm,"Apr 18th, 2001",IGP,"4 MB, eDRAM, 2560 bit",147 MHz,150 MHz,16 / 2 / 8 / 16
Mobility Radeon-P,M6,2002,AGP 4x,"32 MB, DDR, 64 bit",166 MHz,166 MHz,1 / 0 / 3 / 1
Radeon IGP 320,RS100,"Oct 5th, 2002",AGP 4x,System Shared,160 MHz,System Shared,1 / 0 / 1 / 1
Radeon IGP 320M,RS100,"Oct 5th, 2002",AGP 4x,System Shared,160 MHz,System Shared,1 / 0 / 1 / 1
Radeon IGP 340,RS200,"Oct 5th, 2002",AGP 4x,System Shared,183 MHz,System Shared,0 / 1 / 2 / 2
Radeon IGP 340M,RS200,"Oct 5th, 2002",AGP 4x,System Shared,183 MHz,System Shared,0 / 1 / 2 / 2
Radeon IGP 345M,RS200,"Oct 5th, 2002",AGP 4x,System Shared,183 MHz,System Shared,2 / 1 / 2 / 2
Radeon IGP 350M,RS200,"Oct 5th, 2002",AGP 4x,System Shared,183 MHz,System Shared,0 / 1 / 2 / 2
FireGL 9500 Z1-128,R300,"Oct 1st, 2002",AGP 8x,"128 MB, DDR, 256 bit",325 MHz,310 MHz,4 / 4 / 4 / 4
Radeon 9500 PRO,R300,"Oct 1st, 2002",AGP 8x,"128 MB, DDR, 128 bit",275 MHz,270 MHz,8 / 4 / 8 / 8
Mobility Radeon 9000,M9,"Sep 1st, 2002",AGP 4x,"64 MB, DDR, 64 bit",240 MHz,200 MHz,4 / 1 / 4 / 4
Mobility Radeon 9000,M9,"Sep 1st, 2002",AGP 4x,"64 MB, DDR, 64 bit",240 MHz,200 MHz,4 / 1 / 4 / 4
Mobility Radeon 9000,M9,"Sep 1st, 2002",AGP 4x,"32 MB, DDR, 64 bit",240 MHz,200 MHz,4 / 1 / 4 / 4
Radeon 9700,R300,"Aug 19th, 2002",AGP 8x,"128 MB, DDR, 256 bit",275 MHz,270 MHz,8 / 4 / 8 / 8
Radeon 9700 PRO,R300,"Aug 19th, 2002",AGP 8x,"128 MB, DDR, 256 bit",325 MHz,310 MHz,8 / 4 / 8 / 8
Radeon 9700 PRO X4,R300,"Aug 19th, 2002",PCI,"128 MB, DDR, 256 bit",325 MHz,310 MHz,8 / 4 / 8 / 8
FireGL 9700 X1-128,R300,"Jul 23rd, 2002",AGP 8x,"128 MB, DDR, 256 bit",325 MHz,310 MHz,8 / 4 / 8 / 8
FireGL 9700 X1-256,R300,"Jul 23rd, 2002",AGP 8x,"256 MB, DDR, 256 bit",325 MHz,310 MHz,8 / 4 / 8 / 8
FireGL 9700 X1-256p,R300,"Jul 23rd, 2002",AGP Pro 8x,"256 MB, DDR, 256 bit",324 MHz,276 MHz,8 / 4 / 8 / 8
Radeon 9000 PRO,RV250,"Jul 18th, 2002",AGP 4x,"128 MB, DDR, 128 bit",275 MHz,275 MHz,4 / 1 / 4 / 4
All-In-Wonder 9500,R300,"Jul 1st, 2002",AGP 8x,"128 MB, DDR, 128 bit",277 MHz,270 MHz,4 / 4 / 4 / 4
Radeon 9000,RV250,"Jul 1st, 2002",AGP 4x,"64 MB, DDR, 128 bit",250 MHz,200 MHz,4 / 1 / 4 / 4
Radeon 9000 LE,RV250,"Jul 1st, 2002",AGP 4x,"64 MB, DDR, 128 bit",250 MHz,200 MHz,4 / 1 / 4 / 4
Radeon 8500 XT,R250,Never Released,AGP 4x,"128 MB, DDR, 128 bit",300 MHz,300 MHz,4 / 2 / 8 / 4
Radeon IGP 330M,RS200,"May 1st, 2002",AGP 4x,System Shared,183 MHz,System Shared,0 / 1 / 2 / 2
All-In-Wonder Radeon 7500,RV200,"Apr 16th, 2002",AGP 8x,"64 MB, DDR, 128 bit",260 MHz,180 MHz,2 / 0 / 6 / 2
All-In-Wonder Radeon 7500 VE,RV200,"Apr 16th, 2002",PCI,"64 MB, DDR, 128 bit",260 MHz,250 MHz,2 / 0 / 6 / 2
Radeon 7500 Mac Edition,RV200,"Apr 16th, 2002",AGP 4x,"32 MB, DDR, 128 bit",260 MHz,180 MHz,2 / 1 / 6 / 2
Radeon 8500 LE,R200,"Feb 4th, 2002",AGP 4x,"64 MB, DDR, 128 bit",250 MHz,250 MHz,4 / 2 / 8 / 4
Mobility FireGL 9000,M9,2002,AGP 4x,"64 MB, DDR, 128 bit",250 MHz,200 MHz,4 / 1 / 4 / 4
Radeon 8500 X4,R200,Never Released,PCI-X,"64 MB, DDR, 64 bit",250 MHz,250 MHz,4 / 2 / 8 / 4
Extreme Graphics,Brookdale,2002,FSB,System Shared,200 MHz,System Shared,2 / 0 / 1 / 1
i830MG Graphics,Almador,2002,FSB,System Shared,100 MHz,System Shared,2 / 0 / 1 / 1
Parhelia 128 MB,Parhelia-512,"Jun 25th, 2002",AGP 4x,"128 MB, DDR, 256 bit",200 MHz,250 MHz,4 / 4 / 16 / 4
Parhelia 128 MB,Parhelia-512,"Jun 25th, 2002",AGP 4x,"128 MB, DDR, 256 bit",220 MHz,275 MHz,4 / 4 / 16 / 4
Parhelia 256 MB,Parhelia-512,"Jun 25th, 2002",AGP 4x,"256 MB, DDR, 256 bit",200 MHz,250 MHz,4 / 4 / 16 / 4
Millennium G450 x2 MMS,Condor,"Jun 19th, 2002",PCI,"32 MB, DDR, 64 bit",125 MHz,166 MHz,2 / 1 / 2 / 2
Millennium G450 x4 MMS,Condor,"Jun 19th, 2002",PCI,"32 MB, DDR, 64 bit",125 MHz,166 MHz,2 / 1 / 2 / 2
Millenium P650,Parhelia-LX,"Jan 2nd, 2002",AGP 8x,"128 MB, DDR, 128 bit",276 MHz,276 MHz,2 / 2 / 8 / 2
Millenium P750,Parhelia-LX,"Jan 2nd, 2002",AGP 8x,"128 MB, DDR, 128 bit",250 MHz,250 MHz,2 / 2 / 8 / 2
GeForce4 Go 4200,NV28,"Nov 14th, 2002",AGP 8x,"64 MB, DDR, 64 bit",200 MHz,200 MHz,4 / 2 / 8 / 4
Quadro4 380 XGL,NV18,"Nov 12th, 2002",AGP 8x,"128 MB, DDR, 128 bit",275 MHz,256 MHz,2 / 0 / 4 / 4
Quadro4 580 XGL,NV18,"Nov 12th, 2002",AGP 8x,"64 MB, DDR, 128 bit",300 MHz,200 MHz,2 / 0 / 4 / 4
Quadro4 980 XGL,NV28,"Nov 12th, 2002",AGP 8x,"128 MB, DDR, 128 bit",300 MHz,325 MHz,4 / 2 / 8 / 4
GeForce4 460 Go,NV17,"Oct 14th, 2002",AGP 4x,"64 MB, DDR, 128 bit",250 MHz,250 MHz,2 / 0 / 4 / 2
GeForce4 MX + nForce2,Crush17,"Oct 1st, 2002",AGP 4x,System Shared,200 MHz,System Shared,2 / 0 / 4 / 2
GeForce4 MX 440-8x,NV18,"Sep 25th, 2002",AGP 8x,"64 MB, DDR, 128 bit",275 MHz,250 MHz,2 / 0 / 4 / 2
GeForce4 MX 440-8x,NV18,"Sep 25th, 2002",AGP 8x,"32 MB, DDR, 32 bit",275 MHz,250 MHz,2 / 0 / 4 / 2
Quadro4 500 Go GL,NV17,"Apr 23rd, 2002",AGP 4x,"64 MB, SDR, 128 bit",220 MHz,220 MHz,2 / 0 / 4 / 2
GeForce4 448 Go,NV18,"Mar 1st, 2002",AGP 8x,"64 MB, DDR, 128 bit",200 MHz,200 MHz,2 / 0 / 4 / 2
GeForce4 488 Go,NV18,"Mar 1st, 2002",AGP 8x,"64 MB, DDR, 128 bit",300 MHz,275 MHz,2 / 0 / 4 / 2
Quadro4 500 XGL,NV17,"Feb 19th, 2002",AGP 4x,"128 MB, SDR, 128 bit",250 MHz,166 MHz,2 / 0 / 4 / 4
Quadro4 550 XGL,NV17,"Feb 19th, 2002",AGP 4x,"64 MB, DDR, 128 bit",270 MHz,200 MHz,2 / 0 / 4 / 4
Quadro4 700 XGL,NV25,"Feb 19th, 2002",AGP 4x,"64 MB, DDR, 128 bit",275 MHz,225 MHz,4 / 2 / 8 / 8
Quadro4 750 XGL,NV25,"Feb 19th, 2002",AGP 4x,"128 MB, DDR, 128 bit",275 MHz,225 MHz,4 / 2 / 8 / 8
Quadro4 900 XGL,NV25,"Feb 19th, 2002",AGP 4x,"128 MB, DDR, 128 bit",300 MHz,325 MHz,4 / 2 / 8 / 8
GeForce4 410 Go,NV17,"Feb 6th, 2002",AGP 4x,"16 MB, DDR, 64 bit",200 MHz,200 MHz,2 / 0 / 4 / 2
GeForce4 420 Go,NV17,"Feb 6th, 2002",AGP 4x,"32 MB, DDR, 64 bit",200 MHz,200 MHz,2 / 0 / 4 / 2
GeForce4 440 Go,NV17,"Feb 6th, 2002",AGP 4x,"64 MB, DDR, 128 bit",220 MHz,220 MHz,2 / 0 / 4 / 2
GeForce4 MX 420,NV17,"Feb 6th, 2002",AGP 4x,"64 MB, SDR, 128 bit",250 MHz,166 MHz,2 / 0 / 4 / 2
GeForce4 MX 420 PCI,NV17,"Feb 6th, 2002",PCI,"64 MB, SDR, 64 bit",250 MHz,166 MHz,2 / 0 / 4 / 2
GeForce4 MX 440,NV17,"Feb 6th, 2002",AGP 4x,"64 MB, DDR, 128 bit",275 MHz,200 MHz,2 / 0 / 4 / 2
GeForce4 MX 440 Mac Edition,NV17,"Feb 6th, 2002",AGP 4x,"64 MB, DDR, 128 bit",275 MHz,200 MHz,2 / 0 / 4 / 2
GeForce4 MX 440-SE,NV18,"Feb 6th, 2002",AGP 8x,"64 MB, DDR, 64 bit",250 MHz,200 MHz,2 / 0 / 4 / 2
GeForce4 MX 440-SE,NV17,"Feb 6th, 2002",AGP 4x,"64 MB, DDR, 128 bit",250 MHz,166 MHz,2 / 0 / 4 / 2
GeForce4 MX 440-SE,NV17,"Feb 6th, 2002",AGP 4x,"64 MB, DDR, 128 bit",250 MHz,166 MHz,2 / 0 / 4 / 2
GeForce4 MX 460,NV17,"Feb 6th, 2002",AGP 4x,"64 MB, DDR, 128 bit",300 MHz,225 MHz,2 / 0 / 4 / 2
GeForce4 Ti 4200,NV25,"Feb 6th, 2002",AGP 4x,"64 MB, DDR, 128 bit",250 MHz,250 MHz,4 / 2 / 8 / 4
GeForce4 Ti 4200,NV25,"Feb 6th, 2002",AGP 4x,"64 MB, DDR, 64 bit",250 MHz,250 MHz,4 / 2 / 8 / 4
GeForce4 Ti 4200-8X,NV28,"Feb 6th, 2002",AGP 8x,"64 MB, SDR, 128 bit",250 MHz,250 MHz,4 / 2 / 8 / 4
GeForce4 Ti 4200-8X,NV28,"Feb 6th, 2002",AGP 8x,"64 MB, SDR, 128 bit",250 MHz,250 MHz,4 / 2 / 8 / 4
GeForce4 Ti 4400,NV25,"Feb 6th, 2002",AGP 4x,"128 MB, DDR, 128 bit",275 MHz,275 MHz,4 / 2 / 8 / 4
GeForce4 Ti 4600,NV25,"Feb 6th, 2002",AGP 4x,"128 MB, DDR, 128 bit",300 MHz,324 MHz,4 / 2 / 8 / 4
All-In-Wonder 9600,RV350,"Dec 3rd, 2003",AGP 8x,"128 MB, DDR, 128 bit",324 MHz,196 MHz,4 / 2 / 4 / 4
Mobility Radeon,M6,2003,AGP 4x,"16 MB, DDR, 64 bit",144 MHz,144 MHz,1 / 0 / 3 / 1
Mobility Radeon,M6,2003,AGP 4x,"16 MB, DDR, 64 bit",144 MHz,144 MHz,1 / 0 / 3 / 1
Mobility FireGL T2,M10,"Nov 1st, 2003",AGP 4x,"128 MB, DDR, 128 bit",320 MHz,200 MHz,4 / 2 / 4 / 4
Radeon 9600 TX,R300,"Oct 7th, 2003",AGP 8x,"128 MB, DDR, 128 bit",297 MHz,270 MHz,8 / 4 / 8 / 8
FireGL 9600 T2-128,RV350,"Oct 1st, 2003",AGP 8x,"128 MB, DDR, 128 bit",398 MHz,297 MHz,4 / 2 / 4 / 4
FireGL 9600 T2-64S,RV350,"Oct 1st, 2003",AGP 8x,"64 MB, DDR, 128 bit",324 MHz,203 MHz,4 / 2 / 4 / 4
FireGL 9800 X2-256T,R360,"Oct 1st, 2003",AGP 8x,"256 MB, DDR2, 256 bit",412 MHz,344 MHz,8 / 4 / 8 / 8
Radeon 9550,RV350,"Oct 1st, 2003",AGP 8x,"64 MB, DDR, 128 bit",250 MHz,200 MHz,4 / 2 / 4 / 4
Radeon 9600,RV350,"Oct 1st, 2003",AGP 8x,"64 MB, DDR, 128 bit",324 MHz,189 MHz,4 / 2 / 4 / 4
Radeon 9600 PRO,RV350,"Oct 1st, 2003",AGP 8x,"128 MB, DDR, 128 bit",400 MHz,300 MHz,4 / 2 / 4 / 4
Radeon 9600 SE,RV350,"Oct 1st, 2003",AGP 8x,"64 MB, DDR, 64 bit",325 MHz,200 MHz,4 / 2 / 4 / 4
Radeon 9600 XT,RV360,"Oct 1st, 2003",AGP 8x,"128 MB, DDR, 128 bit",500 MHz,300 MHz,4 / 2 / 4 / 4
Radeon 9800 PRO,R360,"Oct 1st, 2003",AGP 8x,"256 MB, DDR, 256 bit",380 MHz,340 MHz,8 / 4 / 8 / 8
Radeon 9800 XT,R360,"Oct 1st, 2003",AGP 8x,"256 MB, DDR, 256 bit",412 MHz,365 MHz,8 / 4 / 8 / 8
Radeon 9800 XXL,R360,"Oct 1st, 2003",AGP 8x,"128 MB, DDR, 256 bit",390 MHz,338 MHz,8 / 4 / 8 / 8
All-In-Wonder 9800 SE,R350,"Sep 10th, 2003",AGP 8x,"128 MB, DDR, 128 bit",378 MHz,297 MHz,4 / 4 / 4 / 8
Mobility Radeon 9100 IGP,RS300,"Jun 23rd, 2003",AGP 4x,System Shared,300 MHz,System Shared,2 / 1 / 2 / 2
Mobility Radeon 9100 PRO IGP,RS350,"Jun 23rd, 2003",AGP 4x,System Shared,300 MHz,System Shared,2 / 0 / 2 / 2
All-In-Wonder 9800 PRO,R350,"Jun 16th, 2003",AGP 8x,"128 MB, DDR, 256 bit",378 MHz,338 MHz,8 / 4 / 8 / 8
Mobility Radeon 9000 IGP,RC300,"May 1st, 2003",AGP 4x,System Shared,300 MHz,System Shared,2 / 1 / 2 / 2
Mobility Radeon 9000 IGP,RS350,"May 1st, 2003",AGP 4x,System Shared,222 MHz,System Shared,2 / 0 / 2 / 2
Mobility Radeon 9000 IGP,RS300,"May 1st, 2003",AGP 8x,System Shared,300 MHz,System Shared,2 / 1 / 2 / 2
Radeon 9200,RV280,"May 1st, 2003",AGP 8x,"128 MB, DDR, 128 bit",250 MHz,200 MHz,4 / 1 / 4 / 4
Radeon 9200 LE,RV280,"May 1st, 2003",AGP 8x,"64 MB, DDR, 128 bit",250 MHz,200 MHz,4 / 1 / 4 / 4
Radeon 9200 PCI,RV280,"May 1st, 2003",PCI,"128 MB, DDR, 128 bit",250 MHz,200 MHz,4 / 1 / 4 / 4
Radeon 9200 PRO,RV280,"May 1st, 2003",AGP 8x,"128 MB, DDR, 128 bit",240 MHz,166 MHz,4 / 1 / 4 / 4
All-In-Wonder 9600 PRO,RV350,"Apr 1st, 2003",AGP 8x,"128 MB, DDR, 128 bit",398 MHz,324 MHz,4 / 2 / 4 / 4
